input,output
"Hey, turn off the geyser in the bathroom please.; in the hall, switch on the tv, thanks.","{""bathroom"": {""geyser"": ""off""}, ""hall"": {""tv"": ""on""}}"
enable the tv in the living_room,"{""living_room"": {""tv"": ""on""}}"
Could you turn on the fan in the living_room?,"{""living_room"": {""fan"": ""on""}}"
"Can you Hey, set the dining_room ac to 23°C. and enable the fan in the living_room please.","{""dining_room"": {""ac"": ""23\u00b0C""}, ""living_room"": {""fan"": ""on""}}"
"I need to in the balcony turn on the lights; in the bedroom, set lights to dim please.","{""balcony"": {""lights"": ""on""}, ""bedroom"": {""lights"": ""dim""}}"
in the dining_room turn off the fan,"{""dining_room"": {""fan"": ""off""}}"
"Can you Hey, open the blinds in the balcony please.; shut off the tv in the hall","{""balcony"": {""blinds"": ""open""}, ""hall"": {""tv"": ""off""}}"
"Hey, turn on the exhaust in the bathroom please.","{""bathroom"": {""exhaust"": ""on""}}"
"Hey, Please set living_room lights to warm., then turn off the lights in the bedroom, then stop the ac in the bedroom now.","{""bedroom"": {""ac"": ""off"", ""lights"": ""off""}, ""living_room"": {""lights"": ""warm""}}"
set the ac to 23°C in the dining_room,"{""dining_room"": {""ac"": ""23\u00b0C""}}"
Please turn on the fan in the bedroom. & stop the lights in the bathroom,"{""bathroom"": {""lights"": ""off""}, ""bedroom"": {""fan"": ""on""}}"
"Can you Set the fan to on in the kitchen., then switch on the computer in the study_room, then Set the lights to off in the bathroom. now.","{""bathroom"": {""lights"": ""off""}, ""kitchen"": {""fan"": ""on""}, ""study_room"": {""computer"": ""on""}}"
"Hey, turn on the ac to 22°C in the dining_room & set the lights to dim in the study_room please. now.","{""dining_room"": {""ac"": ""22\u00b0C""}, ""study_room"": {""lights"": ""dim""}}"
"Hey home, stop the exhaust in the bathroom & open the blinds in the balcony & I want the lights in the kitchen off. & Please turn on the lights in the bedroom. thanks.","{""balcony"": {""blinds"": ""open""}, ""bathroom"": {""exhaust"": ""off""}, ""bedroom"": {""lights"": ""on""}, ""kitchen"": {""lights"": ""off""}}"
"I want to I want the music_system in the living_room off. and I want the ac at 23°C in the bedroom., thanks.","{""bedroom"": {""ac"": ""23\u00b0C""}, ""living_room"": {""music_system"": ""off""}}"
I want the exhaust in the kitchen off.,"{""kitchen"": {""exhaust"": ""off""}}"
Set the fan to on in the bedroom.,"{""bedroom"": {""fan"": ""on""}}"
"Could you set the ac to 25°C in the bedroom and in the bedroom, set lights to warm and in the bedroom, open the blinds please. now.","{""bedroom"": {""ac"": ""25\u00b0C"", ""blinds"": ""open"", ""lights"": ""warm""}}"
"I need to in the bathroom, switch on the geyser & set the lights to dim in the balcony & in the dining_room, switch off the lights please. now.","{""balcony"": {""lights"": ""dim""}, ""bathroom"": {""geyser"": ""on""}, ""dining_room"": {""lights"": ""off""}}"
Could you open the blinds in the balcony?,"{""balcony"": {""blinds"": ""open""}}"
"Can you turn off the lights in the dining_room and Hey, set the dining_room ac to 21°C. and switch the balcony lights to bright and switch on the geyser in the bathroom","{""balcony"": {""lights"": ""bright""}, ""bathroom"": {""geyser"": ""on""}, ""dining_room"": {""ac"": ""21\u00b0C"", ""lights"": ""off""}}"
"Could you start the tv in the living_room, also Hey, make the living_room lights bright., also stop the fan in the kitchen","{""kitchen"": {""fan"": ""off""}, ""living_room"": {""lights"": ""bright"", ""tv"": ""on""}}"
Office mode on.,"{""dining_room"": {""ac"": ""23\u00b0C""}, ""kitchen"": {""lights"": ""on""}, ""study_room"": {""computer"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
I want to power on the geyser in the bathroom and adjust the lights to bright in the living_room now.,"{""bathroom"": {""geyser"": ""on""}, ""living_room"": {""lights"": ""bright""}}"
Night mode on please.,"{""bedroom"": {""ac"": ""22\u00b0C"", ""blinds"": ""close"", ""fan"": ""on"", ""lights"": ""off""}, ""hall"": {""lights"": ""off""}, ""kitchen"": {""lights"": ""off""}, ""living_room"": {""lights"": ""off"", ""tv"": ""off""}}"
Set the fan to on in the kitchen.,"{""kitchen"": {""fan"": ""on""}}"
"Kindly turn on the fan in the dining_room, also Hey, turn off the exhaust in the kitchen please..","{""dining_room"": {""fan"": ""on""}, ""kitchen"": {""exhaust"": ""off""}}"
switch off the lights in the bedroom,"{""bedroom"": {""lights"": ""off""}}"
shut off the geyser in the bathroom,"{""bathroom"": {""geyser"": ""off""}}"
"Please Can you activate the fan in the study_room?, also switch on the tv in the hall please!","{""hall"": {""tv"": ""on""}, ""study_room"": {""fan"": ""on""}}"
"Please enable the tv in the hall, also I want medium music in the living_room., also set the ac to 24°C in the bedroom thanks.","{""bedroom"": {""ac"": ""24\u00b0C""}, ""hall"": {""tv"": ""on""}, ""living_room"": {""music_system"": ""medium""}}"
Could you set the lights in the hall to dim?,"{""hall"": {""lights"": ""dim""}}"
power on the tv in the hall,"{""hall"": {""tv"": ""on""}}"
close the blinds in the balcony,"{""balcony"": {""blinds"": ""close""}}"
"Please in the living_room, set music to relax & Please turn on the fan in the dining_room. please. now.","{""dining_room"": {""fan"": ""on""}, ""living_room"": {""music_system"": ""relax""}}"
Kindly enable the tv in the hall; switch the bathroom lights to dim.,"{""bathroom"": {""lights"": ""dim""}, ""hall"": {""tv"": ""on""}}"
"Hey home, bedtime mode please.","{""bedroom"": {""ac"": ""22\u00b0C"", ""blinds"": ""close"", ""fan"": ""on"", ""lights"": ""off""}, ""hall"": {""lights"": ""off""}, ""kitchen"": {""lights"": ""off""}, ""living_room"": {""lights"": ""off"", ""tv"": ""off""}}"
"Hey, set the dining_room ac to 19°C.","{""dining_room"": {""ac"": ""19\u00b0C""}}"
Can you deactivate the lights in the hall?,"{""hall"": {""lights"": ""off""}}"
stop the fan in the study_room,"{""study_room"": {""fan"": ""off""}}"
"Kindly set the lights to dim in the hall, then Set the tv to on in the living_room..","{""hall"": {""lights"": ""dim""}, ""living_room"": {""tv"": ""on""}}"
"in the hall turn off the lights, also shut off the lights in the bedroom","{""bedroom"": {""lights"": ""off""}, ""hall"": {""lights"": ""off""}}"
"Please Hey, turn on the exhaust in the bathroom please., also Kindly turn off the music_system in the living_room.","{""bathroom"": {""exhaust"": ""on""}, ""living_room"": {""music_system"": ""off""}}"
"Please Hey, open the blinds in the balcony please., then Kindly turn off the lights in the hall. please.","{""balcony"": {""blinds"": ""open""}, ""hall"": {""lights"": ""off""}}"
"Kindly Hey, turn off the ac in the dining_room please. & stop the lights in the balcony please!","{""balcony"": {""lights"": ""off""}, ""dining_room"": {""ac"": ""off""}}"
in the study_room turn on the fan,"{""study_room"": {""fan"": ""on""}}"
open the blinds in the balcony,"{""balcony"": {""blinds"": ""open""}}"
"Hey home, good morning!","{""bathroom"": {""geyser"": ""on"", ""lights"": ""on""}, ""bedroom"": {""blinds"": ""open"", ""fan"": ""off"", ""lights"": ""bright""}, ""kitchen"": {""exhaust"": ""on"", ""lights"": ""on""}}"
power on the fan in the kitchen,"{""kitchen"": {""fan"": ""on""}}"
shut off the fan in the kitchen,"{""kitchen"": {""fan"": ""off""}}"
I need to Please set balcony lights to dim. & Kindly turn off the tv in the hall. & I want the lights in the dining_room off. now.,"{""balcony"": {""lights"": ""dim""}, ""dining_room"": {""lights"": ""off""}, ""hall"": {""tv"": ""off""}}"
in the bathroom turn off the geyser,"{""bathroom"": {""geyser"": ""off""}}"
Can you activate the tv in the living_room?,"{""living_room"": {""tv"": ""on""}}"
I want warm lights in the hall.,"{""hall"": {""lights"": ""warm""}}"
"Could you in the dining_room, set ac to 23°C, also power off the exhaust in the bathroom","{""bathroom"": {""exhaust"": ""off""}, ""dining_room"": {""ac"": ""23\u00b0C""}}"
"Hey, close the blinds in the balcony please.","{""balcony"": {""blinds"": ""close""}}"
I want to stop the ac in the bedroom & adjust the lights to dim in the study_room & I want the fan in the kitchen off. please. now.,"{""bedroom"": {""ac"": ""off""}, ""kitchen"": {""fan"": ""off""}, ""study_room"": {""lights"": ""dim""}}"
"Hey home, focus mode please.","{""bedroom"": {""lights"": ""off""}, ""living_room"": {""music_system"": ""off"", ""tv"": ""off""}, ""study_room"": {""computer"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"in the dining_room, set ac to 18°C","{""dining_room"": {""ac"": ""18\u00b0C""}}"
Kindly turn off the ac in the bedroom.,"{""bedroom"": {""ac"": ""off""}}"
Set the exhaust to on in the bathroom.,"{""bathroom"": {""exhaust"": ""on""}}"
"Hey home, WFH mode.","{""dining_room"": {""ac"": ""23\u00b0C""}, ""kitchen"": {""lights"": ""on""}, ""study_room"": {""computer"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"Hey, in the dining_room, switch on the fan; in the kitchen, switch on the exhaust","{""dining_room"": {""fan"": ""on""}, ""kitchen"": {""exhaust"": ""on""}}"
set the lights to bright in the dining_room,"{""dining_room"": {""lights"": ""bright""}}"
"I need to turn the lights to warm in the hall & Please open the balcony blinds. & I want bright lights in the living_room., thanks.","{""balcony"": {""blinds"": ""open""}, ""hall"": {""lights"": ""warm""}, ""living_room"": {""lights"": ""bright""}}"
"Could you Hey home, turn off the lights in the hall.; Set the tv to on in the hall.; enable the fan in the dining_room; shut off the computer in the study_room, thanks.","{""dining_room"": {""fan"": ""on""}, ""hall"": {""lights"": ""off"", ""tv"": ""on""}, ""study_room"": {""computer"": ""off""}}"
Could you power on the fan in the kitchen; in the living_room turn on the tv; switch the dining_room lights to warm please!,"{""dining_room"": {""lights"": ""warm""}, ""kitchen"": {""fan"": ""on""}, ""living_room"": {""tv"": ""on""}}"
"I need to in the balcony, open the blinds and activate the exhaust in the bathroom, thanks.","{""balcony"": {""blinds"": ""open""}, ""bathroom"": {""exhaust"": ""on""}}"
"Hey, I want dim lights in the hall., also Could you set the lights in the dining_room to warm?, also deactivate the fan in the kitchen please. now.","{""dining_room"": {""lights"": ""warm""}, ""hall"": {""lights"": ""dim""}, ""kitchen"": {""fan"": ""off""}}"
"I need to power off the lights in the dining_room, then stop the lights in the living_room, then power off the lights in the bedroom.","{""bedroom"": {""lights"": ""off""}, ""dining_room"": {""lights"": ""off""}, ""living_room"": {""lights"": ""off""}}"
Set the fan to on in the kitchen.,"{""kitchen"": {""fan"": ""on""}}"
Could you turn off the lights in the bathroom & power off the tv in the living_room,"{""bathroom"": {""lights"": ""off""}, ""living_room"": {""tv"": ""off""}}"
"Can you in the living_room turn on the tv, then Hey, play some relax music in the living_room., then switch on the tv in the hall please. now.","{""hall"": {""tv"": ""on""}, ""living_room"": {""music_system"": ""relax"", ""tv"": ""on""}}"
Activate WFH mode.,"{""dining_room"": {""ac"": ""23\u00b0C""}, ""kitchen"": {""lights"": ""on""}, ""study_room"": {""computer"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"Could you switch off the fan in the dining_room, also Please set the ac to 19°C in the dining_room. please.","{""dining_room"": {""ac"": ""19\u00b0C"", ""fan"": ""off""}}"
"Kindly Could you turn off the lights in the dining_room? and Hey, open the blinds in the bedroom please. please. now.","{""bedroom"": {""blinds"": ""open""}, ""dining_room"": {""lights"": ""off""}}"
Set up for cooking please.,"{""kitchen"": {""exhaust"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"Hey, I want the lights in the bedroom off., also power off the tv in the hall, also I want the exhaust in the kitchen on..","{""bedroom"": {""lights"": ""off""}, ""hall"": {""tv"": ""off""}, ""kitchen"": {""exhaust"": ""on""}}"
"Hey, Hey, turn off the lights in the bedroom please. and Kindly turn on the exhaust in the bathroom. please.","{""bathroom"": {""exhaust"": ""on""}, ""bedroom"": {""lights"": ""off""}}"
Please Please turn off the fan in the dining_room. & Can you activate the tv in the living_room? & Please set bedroom lights to warm.,"{""bedroom"": {""lights"": ""warm""}, ""dining_room"": {""fan"": ""off""}, ""living_room"": {""tv"": ""on""}}"
"Hey home, bedtime mode please.","{""bedroom"": {""ac"": ""22\u00b0C"", ""blinds"": ""close"", ""fan"": ""on"", ""lights"": ""off""}, ""hall"": {""lights"": ""off""}, ""kitchen"": {""lights"": ""off""}, ""living_room"": {""lights"": ""off"", ""tv"": ""off""}}"
deactivate the exhaust in the bathroom,"{""bathroom"": {""exhaust"": ""off""}}"
"Hey, Hey home, turn off the exhaust in the bathroom. and I want the computer in the study_room on.","{""bathroom"": {""exhaust"": ""off""}, ""study_room"": {""computer"": ""on""}}"
"Can you in the dining_room, set lights to dim; turn off the lights in the kitchen.","{""dining_room"": {""lights"": ""dim""}, ""kitchen"": {""lights"": ""off""}}"
switch off the geyser in the bathroom,"{""bathroom"": {""geyser"": ""off""}}"
I need to Could you set the lights in the balcony to warm? and Please set the ac to 21°C in the bedroom. now.,"{""balcony"": {""lights"": ""warm""}, ""bedroom"": {""ac"": ""21\u00b0C""}}"
Could you turn off the lights in the bedroom?,"{""bedroom"": {""lights"": ""off""}}"
"Hey, close the blinds in the bedroom please.","{""bedroom"": {""blinds"": ""close""}}"
"I want to adjust the ac to 23°C in the dining_room and Hey home, turn on the lights in the hall. thanks.","{""dining_room"": {""ac"": ""23\u00b0C""}, ""hall"": {""lights"": ""on""}}"
Set the house for relaxing.,"{""bedroom"": {""ac"": ""23\u00b0C"", ""lights"": ""dim""}, ""living_room"": {""fan"": ""on"", ""lights"": ""warm"", ""music_system"": ""relax""}}"
deactivate the fan in the kitchen,"{""kitchen"": {""fan"": ""off""}}"
turn the lights to warm in the kitchen,"{""kitchen"": {""lights"": ""warm""}}"
I want bright lights in the bedroom.,"{""bedroom"": {""lights"": ""bright""}}"
Kindly Could you turn on the lights in the balcony? & switch on the geyser in the bathroom,"{""balcony"": {""lights"": ""on""}, ""bathroom"": {""geyser"": ""on""}}"
"I need to activate the fan in the living_room and Hey, turn on the lights in the dining_room please.","{""dining_room"": {""lights"": ""on""}, ""living_room"": {""fan"": ""on""}}"
"Can you turn off the lights in the study_room and Hey home, turn on the fan in the study_room. now.","{""study_room"": {""fan"": ""on"", ""lights"": ""off""}}"
"in the bedroom, set ac to 20°C","{""bedroom"": {""ac"": ""20\u00b0C""}}"
"I need to power on the lights in the bathroom, also switch on the fan in the dining_room, also I want the fan in the living_room off., also Please turn off the fan in the kitchen. please. now.","{""bathroom"": {""lights"": ""on""}, ""dining_room"": {""fan"": ""on""}, ""kitchen"": {""fan"": ""off""}, ""living_room"": {""fan"": ""off""}}"
"in the hall, switch off the lights","{""hall"": {""lights"": ""off""}}"
"Hey home, I'm going out.","{""balcony"": {""lights"": ""off""}, ""bathroom"": {""exhaust"": ""off"", ""geyser"": ""off"", ""lights"": ""off""}, ""bedroom"": {""ac"": ""off"", ""fan"": ""off"", ""lights"": ""off""}, ""dining_room"": {""ac"": ""off"", ""fan"": ""off"", ""lights"": ""off""}, ""hall"": {""lights"": ""off"", ""tv"": ""off""}, ""kitchen"": {""exhaust"": ""off"", ""fan"": ""off"", ""lights"": ""off""}, ""living_room"": {""fan"": ""off"", ""lights"": ""off"", ""music_system"": ""off"", ""tv"": ""off""}, ""study_room"": {""computer"": ""off"", ""fan"": ""off"", ""lights"": ""off""}}"
"in the hall, switch off the lights","{""hall"": {""lights"": ""off""}}"
Kindly turn on the fan in the living_room.,"{""living_room"": {""fan"": ""on""}}"
I need to power off the lights in the bathroom; Could you put relax music on in the living_room?; Could you turn on the geyser in the bathroom? thanks.,"{""bathroom"": {""geyser"": ""on"", ""lights"": ""off""}, ""living_room"": {""music_system"": ""relax""}}"
"Could you Could you turn off the ac in the dining_room?, then Hey home, turn on the exhaust in the bathroom. thanks.","{""bathroom"": {""exhaust"": ""on""}, ""dining_room"": {""ac"": ""off""}}"
fire up the exhaust in the bathroom; Could you set the lights in the balcony to warm?; Can you activate the lights in the kitchen?,"{""balcony"": {""lights"": ""warm""}, ""bathroom"": {""exhaust"": ""on""}, ""kitchen"": {""lights"": ""on""}}"
set the lights to bright in the bathroom,"{""bathroom"": {""lights"": ""bright""}}"
turn the lights to warm in the dining_room,"{""dining_room"": {""lights"": ""warm""}}"
Could you open the blinds in the bedroom?,"{""bedroom"": {""blinds"": ""open""}}"
"Hey home, activate the fan in the kitchen, also disable the ac in the dining_room please.","{""dining_room"": {""ac"": ""off""}, ""kitchen"": {""fan"": ""on""}}"
"Hey, make the balcony lights bright.","{""balcony"": {""lights"": ""bright""}}"
"Hey, in the bathroom, set lights to warm; Could you set the lights in the kitchen to dim?","{""bathroom"": {""lights"": ""warm""}, ""kitchen"": {""lights"": ""dim""}}"
"Hey, make the dining_room lights bright.; Could you set the lights in the living_room to warm?; Hey, turn on the tv in the hall please. please.","{""dining_room"": {""lights"": ""bright""}, ""hall"": {""tv"": ""on""}, ""living_room"": {""lights"": ""warm""}}"
in the dining_room turn off the ac,"{""dining_room"": {""ac"": ""off""}}"
"in the study_room, switch on the computer","{""study_room"": {""computer"": ""on""}}"
Set the ac to off in the bedroom.,"{""bedroom"": {""ac"": ""off""}}"
"Hey home, adjust the lights to dim in the hall; Please set the ac to 21°C in the bedroom. thanks.","{""bedroom"": {""ac"": ""21\u00b0C""}, ""hall"": {""lights"": ""dim""}}"
"Hey home, I want the ac at 19°C in the dining_room., then switch off the fan in the dining_room","{""dining_room"": {""ac"": ""19\u00b0C"", ""fan"": ""off""}}"
"Kindly adjust the lights to bright in the living_room and Hey home, turn on the fan in the study_room. please!","{""living_room"": {""lights"": ""bright""}, ""study_room"": {""fan"": ""on""}}"
I need to in the kitchen turn off the fan; power off the ac in the bedroom,"{""bedroom"": {""ac"": ""off""}, ""kitchen"": {""fan"": ""off""}}"
"Hey home, play medium music in the living_room; stop the lights in the hall; Hey home, turn on the fan in the kitchen.; Hey, make the balcony lights bright. please.","{""balcony"": {""lights"": ""bright""}, ""hall"": {""lights"": ""off""}, ""kitchen"": {""fan"": ""on""}, ""living_room"": {""music_system"": ""medium""}}"
"I want the lights in the bathroom off., then stop the lights in the balcony, then in the living_room, switch on the fan.","{""balcony"": {""lights"": ""off""}, ""bathroom"": {""lights"": ""off""}, ""living_room"": {""fan"": ""on""}}"
Set up for dinner.,"{""dining_room"": {""ac"": ""23\u00b0C"", ""fan"": ""on"", ""lights"": ""warm""}, ""kitchen"": {""exhaust"": ""on"", ""lights"": ""on""}, ""living_room"": {""music_system"": ""soft""}}"
"Hey, set the bedroom ac to 25°C.","{""bedroom"": {""ac"": ""25\u00b0C""}}"
fire up the fan in the kitchen,"{""kitchen"": {""fan"": ""on""}}"
"Can you turn the lights to dim in the hall, then turn on the ac to 25°C in the bedroom","{""bedroom"": {""ac"": ""25\u00b0C""}, ""hall"": {""lights"": ""dim""}}"
"in the dining_room, set lights to bright","{""dining_room"": {""lights"": ""bright""}}"
Can you deactivate the tv in the hall? and Set the fan to off in the bedroom. and deactivate the lights in the hall and I want the lights in the living_room off..,"{""bedroom"": {""fan"": ""off""}, ""hall"": {""lights"": ""off"", ""tv"": ""off""}, ""living_room"": {""lights"": ""off""}}"
"adjust the lights to dim in the bedroom, also Could you turn on the tv in the living_room?, also Hey, open the blinds in the balcony please. thanks.","{""balcony"": {""blinds"": ""open""}, ""bedroom"": {""lights"": ""dim""}, ""living_room"": {""tv"": ""on""}}"
Could you disable the geyser in the bathroom; Can you deactivate the fan in the living_room?; turn the lights to warm in the kitchen,"{""bathroom"": {""geyser"": ""off""}, ""kitchen"": {""lights"": ""warm""}, ""living_room"": {""fan"": ""off""}}"
Can you adjust the ac to 22°C in the dining_room and power off the lights in the balcony please!,"{""balcony"": {""lights"": ""off""}, ""dining_room"": {""ac"": ""22\u00b0C""}}"
"Hey, party setup!","{""dining_room"": {""lights"": ""bright""}, ""hall"": {""lights"": ""bright""}, ""kitchen"": {""lights"": ""on""}, ""living_room"": {""fan"": ""on"", ""lights"": ""bright"", ""music_system"": ""party"", ""tv"": ""on""}}"
"Could you turn off the lights in the living_room?, also Could you open the blinds in the balcony?.","{""balcony"": {""blinds"": ""open""}, ""living_room"": {""lights"": ""off""}}"
Could you open the blinds in the bedroom?,"{""bedroom"": {""blinds"": ""open""}}"
Please set the lights to warm in the balcony & I want the exhaust in the kitchen on. & start the fan in the dining_room please.,"{""balcony"": {""lights"": ""warm""}, ""dining_room"": {""fan"": ""on""}, ""kitchen"": {""exhaust"": ""on""}}"
"Hey home, in the kitchen, switch off the fan, also I want warm lights in the living_room.","{""kitchen"": {""fan"": ""off""}, ""living_room"": {""lights"": ""warm""}}"
Please turn on the fan in the dining_room.,"{""dining_room"": {""fan"": ""on""}}"
power off the exhaust in the bathroom,"{""bathroom"": {""exhaust"": ""off""}}"
"Hey, turn on the fan in the living_room please.","{""living_room"": {""fan"": ""on""}}"
turn on the lights in the dining_room,"{""dining_room"": {""lights"": ""on""}}"
deactivate the exhaust in the bathroom,"{""bathroom"": {""exhaust"": ""off""}}"
stop the lights in the kitchen & turn off the lights in the bedroom & Please open the balcony blinds. now.,"{""balcony"": {""blinds"": ""open""}, ""bedroom"": {""lights"": ""off""}, ""kitchen"": {""lights"": ""off""}}"
Please turn on the computer in the study_room.,"{""study_room"": {""computer"": ""on""}}"
set the lights to dim in the hall,"{""hall"": {""lights"": ""dim""}}"
Set up the living room for a movie.,"{""hall"": {""lights"": ""off""}, ""living_room"": {""fan"": ""on"", ""lights"": ""dim"", ""tv"": ""on""}}"
"Please Please open the bedroom blinds., then open the blinds in the balcony, then set the lights to bright in the bathroom please!","{""balcony"": {""blinds"": ""open""}, ""bathroom"": {""lights"": ""bright""}, ""bedroom"": {""blinds"": ""open""}}"
"Hey home, in the study_room turn off the computer; I want the lights in the balcony on.; in the kitchen, switch on the exhaust please. now.","{""balcony"": {""lights"": ""on""}, ""kitchen"": {""exhaust"": ""on""}, ""study_room"": {""computer"": ""off""}}"
"Hey, I want the exhaust in the kitchen on., also Could you open the blinds in the bedroom?, also Hey, make the bathroom lights bright., also Set the tv to on in the hall..","{""bathroom"": {""lights"": ""bright""}, ""bedroom"": {""blinds"": ""open""}, ""hall"": {""tv"": ""on""}, ""kitchen"": {""exhaust"": ""on""}}"
"Hey, turn on the geyser in the bathroom please., then Could you set the lights in the balcony to warm? please!","{""balcony"": {""lights"": ""warm""}, ""bathroom"": {""geyser"": ""on""}}"
Set the exhaust to on in the kitchen.,"{""kitchen"": {""exhaust"": ""on""}}"
"Hey home, Could you open the blinds in the bedroom?; stop the geyser in the bathroom; Set the fan to on in the bedroom.","{""bathroom"": {""geyser"": ""off""}, ""bedroom"": {""blinds"": ""open"", ""fan"": ""on""}}"
"Time to cook, set up the kitchen.","{""kitchen"": {""exhaust"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"Please Please turn on the fan in the dining_room. and Could you turn off the lights in the kitchen? and Hey, close the blinds in the bedroom please. please.","{""bedroom"": {""blinds"": ""close""}, ""dining_room"": {""fan"": ""on""}, ""kitchen"": {""lights"": ""off""}}"
"Hey home, in the dining_room turn on the fan; Could you open the blinds in the balcony?; stop the tv in the hall","{""balcony"": {""blinds"": ""open""}, ""dining_room"": {""fan"": ""on""}, ""hall"": {""tv"": ""off""}}"
I want to Could you turn off the fan in the kitchen? and turn the lights to warm in the study_room thanks.,"{""kitchen"": {""fan"": ""off""}, ""study_room"": {""lights"": ""warm""}}"
"I need to Please set balcony lights to warm., also deactivate the fan in the living_room, also Hey, turn on the exhaust in the kitchen please. please!","{""balcony"": {""lights"": ""warm""}, ""kitchen"": {""exhaust"": ""on""}, ""living_room"": {""fan"": ""off""}}"
enable the exhaust in the bathroom,"{""bathroom"": {""exhaust"": ""on""}}"
set the lights to dim in the bathroom,"{""bathroom"": {""lights"": ""dim""}}"
"Could you Can you activate the fan in the dining_room?, also Hey, make the bathroom lights warm.","{""bathroom"": {""lights"": ""warm""}, ""dining_room"": {""fan"": ""on""}}"
Could you turn off the lights in the bathroom?,"{""bathroom"": {""lights"": ""off""}}"
"Hey home, deactivate the tv in the living_room; I want the ac at 24°C in the bedroom.; in the living_room, set lights to dim, thanks.","{""bedroom"": {""ac"": ""24\u00b0C""}, ""living_room"": {""lights"": ""dim"", ""tv"": ""off""}}"
Relax mode on.,"{""bedroom"": {""ac"": ""23\u00b0C"", ""lights"": ""dim""}, ""living_room"": {""fan"": ""on"", ""lights"": ""warm"", ""music_system"": ""relax""}}"
"Hey home, disable the lights in the kitchen & Can you activate the exhaust in the kitchen? & I want bright lights in the balcony.","{""balcony"": {""lights"": ""bright""}, ""kitchen"": {""exhaust"": ""on"", ""lights"": ""off""}}"
Set up for cooking please.,"{""kitchen"": {""exhaust"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"Could you Could you close the blinds in the balcony?, also Please turn on the computer in the study_room. now.","{""balcony"": {""blinds"": ""close""}, ""study_room"": {""computer"": ""on""}}"
"I want to Please set the ac to 19°C in the dining_room., also in the hall, set lights to bright, also stop the fan in the dining_room, also turn on the geyser in the bathroom","{""bathroom"": {""geyser"": ""on""}, ""dining_room"": {""ac"": ""19\u00b0C"", ""fan"": ""off""}, ""hall"": {""lights"": ""bright""}}"
switch the bathroom lights to dim,"{""bathroom"": {""lights"": ""dim""}}"
deactivate the exhaust in the bathroom,"{""bathroom"": {""exhaust"": ""off""}}"
"I need to start the tv in the living_room and turn on the tv in the hall, thanks.","{""hall"": {""tv"": ""on""}, ""living_room"": {""tv"": ""on""}}"
"I want to Please set the ac to 25°C in the dining_room. & enable the tv in the living_room, thanks.","{""dining_room"": {""ac"": ""25\u00b0C""}, ""living_room"": {""tv"": ""on""}}"
"Hey, set the dining_room ac to 19°C. & open the blinds in the balcony now.","{""balcony"": {""blinds"": ""open""}, ""dining_room"": {""ac"": ""19\u00b0C""}}"
"Hey home, Set the lights to off in the hall. & Please set bathroom lights to bright.","{""bathroom"": {""lights"": ""bright""}, ""hall"": {""lights"": ""off""}}"
"in the kitchen, set lights to warm","{""kitchen"": {""lights"": ""warm""}}"
Could you turn on the exhaust in the kitchen?,"{""kitchen"": {""exhaust"": ""on""}}"
I want the fan in the dining_room on.,"{""dining_room"": {""fan"": ""on""}}"
"Could you stop the lights in the kitchen, also turn the lights to warm in the balcony.","{""balcony"": {""lights"": ""warm""}, ""kitchen"": {""lights"": ""off""}}"
"Hey home, Please set kitchen lights to warm., then open the blinds in the balcony thanks.","{""balcony"": {""blinds"": ""open""}, ""kitchen"": {""lights"": ""warm""}}"
Kindly turn on the fan in the dining_room.,"{""dining_room"": {""fan"": ""on""}}"
"Can you Hey, close the blinds in the balcony please., also Kindly turn on the exhaust in the bathroom., also Could you set the lights in the living_room to dim?, thanks.","{""balcony"": {""blinds"": ""close""}, ""bathroom"": {""exhaust"": ""on""}, ""living_room"": {""lights"": ""dim""}}"
"Good morning, open everything up.","{""bathroom"": {""geyser"": ""on"", ""lights"": ""on""}, ""bedroom"": {""blinds"": ""open"", ""fan"": ""off"", ""lights"": ""bright""}, ""kitchen"": {""exhaust"": ""on"", ""lights"": ""on""}}"
Can you turn on the geyser in the bathroom; Please turn on the fan in the living_room.,"{""bathroom"": {""geyser"": ""on""}, ""living_room"": {""fan"": ""on""}}"
"Kindly Hey, make the living_room lights bright.; I want the lights in the balcony off.; Can you deactivate the lights in the kitchen?","{""balcony"": {""lights"": ""off""}, ""kitchen"": {""lights"": ""off""}, ""living_room"": {""lights"": ""bright""}}"
"Good night, set up sleep mode.","{""bedroom"": {""ac"": ""22\u00b0C"", ""blinds"": ""close"", ""fan"": ""on"", ""lights"": ""off""}, ""hall"": {""lights"": ""off""}, ""kitchen"": {""lights"": ""off""}, ""living_room"": {""lights"": ""off"", ""tv"": ""off""}}"
Can you Can you deactivate the tv in the hall? and set the lights to warm in the kitchen and Please set bathroom lights to bright.,"{""bathroom"": {""lights"": ""bright""}, ""hall"": {""tv"": ""off""}, ""kitchen"": {""lights"": ""warm""}}"
Can you activate the fan in the living_room; set the lights to dim in the dining_room,"{""dining_room"": {""lights"": ""dim""}, ""living_room"": {""fan"": ""on""}}"
